url,title,price,address,area,floor,year,metro_name,metro_time,house_type,_error
https://www.cian.ru/sale/flat/320771675/,"Продается 3-комн. квартира, 100 м²",107 000 000 ₽,"Москва, ЦАО, р-н Хамовники, ул. Пречистенка, 25На карте",100 м²,4 из 6,1910,Парк Культуры,7 мин.,Кирпичный,
https://www.cian.ru/sale/flat/321374078/,"Продается 2-комн. квартира, 56 м²",47 600 000 ₽,"Москва, ЦАО, р-н Хамовники, 3-я Фрунзенская ул., 13На карте",56 м²,3 из 8,1961,Спортивная,8 мин.,Кирпичный,
https://www.cian.ru/sale/flat/323524318/,"Продается 3-комн. квартира, 78 м²",27 900 000 ₽,"Москва, ЦАО, р-н Таганский, Иерусалимская ул., 3На карте",78 м²,3 из 9,2002,Пролетарская,12 мин.,Монолитный,
https://www.cian.ru/sale/flat/320323503/,"Продается 2-комн. квартира, 52 м²",45 000 000 ₽,"Москва, ЦАО, р-н Тверской, пер. Лихов, 5На карте",52 м²,4 из 7,1917,Цветной бульвар,10 мин.,Кирпичный,
https://www.cian.ru/sale/flat/322286415/,"Продается 5-комн. квартира, 241 м²",995 000 000 ₽,"Москва, ЦАО, р-н Хамовники, Малый Левшинский пер., 5К2На карте",241 м²,6 из 9,2003,Парк Культуры,9 мин.,Монолитный,
https://www.cian.ru/sale/flat/323336526/,"Продаются 2-комн. апартаменты, 82,4 м²",87 179 200 ₽,"Москва, ЦАО, р-н Таганский, Славянская пл., 2/5с1На карте","82,4 м²",5 из 8,2022,Китай-город,2 мин.,Монолитно-кирпичный,
https://www.cian.ru/sale/flat/320497563/,"Продается 3-комн. квартира, 145 м²",89 000 000 ₽,"Москва, СЗАО, р-н Покровское-Стрешнево, Береговая ул., 4К1На карте",145 м²,2 из 6,2006,Балтийская,25 мин.,Монолитный,
https://www.cian.ru/sale/flat/319303243/,"Продаются 5-комн. апартаменты, 593,3 м²",958 179 500 ₽,"Москва, ЦАО, р-н Пресненский, 1-й Красногвардейский проезд, 22с1На карте","593,3 м²",66 из 66,,Москва-Сити,2 мин.,Монолитный,
https://www.cian.ru/sale/flat/322043526/,"Продается 2-комн. квартира, 56,7 м²",27 790 938 ₽,"Москва, СЗАО, р-н Щукино, 1-й Красногорский проездНа карте","56,7 м²",20 из 34,,Стрешнево,3 мин.,Монолитно-кирпичный,
https://www.cian.ru/sale/flat/318956322/,"Продается 4-комн. квартира, 128,6 м²",60 300 000 ₽,"Москва, СЗАО, р-н Южное Тушино, Лодочная ул., 27К2На карте","128,6 м²",21 из 29,,Тушинская,5 мин.,Монолитно-кирпичный,
https://www.cian.ru/sale/flat/322610165/,"Продается 4-комн. квартира, 115 м²",88 900 000 ₽,"Москва, СЗАО, р-н Хорошево-Мневники, Шелепихинская наб., 34к2зд1На карте",115 м²,8 из 34,,Шелепиха,20 мин.,Монолитно-кирпичный,
https://www.cian.ru/sale/flat/322526810/,"Продается 2-комн. квартира, 62 м²",53 925 616 ₽,"Москва, САО, р-н Беговой, Северный административный округ, Слава жилой комплексНа карте",62 м²,8 из 36,,Белорусская,4 мин.,Монолитный,
https://www.cian.ru/sale/flat/319665541/,"Продаются 2-комн. апартаменты, 75,9 м²",42 279 999 ₽,"Москва, ул. 1-я Ямского Поля, 26","75,9 м²",3 из 21,,Белорусская,9 мин.,Монолитный,
https://www.cian.ru/sale/flat/323195698/,"Продаются 2-комн. апартаменты, 46,3 м²",20 881 767 ₽,"Москва, САО, р-н Хорошевский, Ходынский бул., 20АНа карте","46,3 м²",3 из 18,,ЦСКА,10 мин.,Монолитный,
https://www.cian.ru/sale/flat/322692594/,"Продается 2-комн. квартира, 47,6 м²",46 950 000 ₽,"Москва, САО, р-н Хорошевский, Ленинградский просп., 37/5На карте","47,6 м²",14 из 41,,Динамо,17 мин.,,
https://www.cian.ru/sale/flat/320393830/,"Продается 1-комн. квартира, 29,1 м²",22 597 605 ₽,"Москва, САО, р-н Савеловский, 2-я Хуторская ул., 34На карте","29,1 м²",38 из 54,,Дмитровская,6 мин.,Монолитный,
https://www.cian.ru/sale/flat/314482762/,"Продается студия, 16 м²",6 200 000 ₽,"Москва, СВАО, р-н Бабушкинский, ул. Летчика Бабушкина, 21/2На карте",16 м²,3 из 7,1949,Бабушкинская,11 мин.,Сталинский,
https://www.cian.ru/sale/flat/321863845/,"Продается 4-комн. квартира, 137,7 м²",126 946 637 ₽,"Москва, САО, р-н Хорошевский, Ленинградский просп., 37/7На карте","137,7 м²",29 из 41,,Динамо,15 мин.,,
https://www.cian.ru/sale/flat/317570087/,"Продается 1-комн. квартира, 37 м²",23 000 000 ₽,"Москва, СВАО, р-н Марфино, ул. Академика Королева, 21На карте",37 м²,19 из 29,2025,Бутырская,10 мин.,,
https://www.cian.ru/sale/flat/322281917/,"Продается 4-комн. квартира, 160 м²",175 000 000 ₽,"Москва, САО, р-н Хорошевский, Ленинградский просп., 37/3На карте",160 м²,20 из 41,,Петровский Парк,16 мин.,,
https://www.cian.ru/sale/flat/323518404/,"Продается студия, 29,8 м²",16 576 402 ₽,"Москва, СВАО, р-н Свиблово, проезд Серебрякова, 11к2На карте","29,8 м²",44 из 53,,Ботанический сад,11 мин.,Монолитно-кирпичный,
https://www.cian.ru/sale/flat/323389600/,"Продается 3-комн. квартира, 118 м²",89 990 000 ₽,"Москва, СЗАО, р-н Хорошево-Мневники, ул. Народного Ополчения, 15К2На карте",118 м²,39 из 58,2022,Народное Ополчение,10 мин.,Монолитный,
https://www.cian.ru/sale/flat/320397183/,"Продается 1-комн. квартира, 35,76 м²",20 909 838 ₽,"Москва, СВАО, р-н Алексеевский, Мира жилой комплексНа карте","35,76 м²",2 из 24,,ВДНХ,13 мин.,Монолитный,
https://www.cian.ru/sale/flat/319673529/,"Продается 3-комн. квартира, 72,1 м²",34 000 000 ₽,"Москва, СВАО, р-н Останкинский, ул. Годовикова, 11к1На карте","72,1 м²",12 из 24,2025,Алексеевская,9 мин.,,
https://www.cian.ru/sale/flat/307731203/,"Продается 5-комн. квартира, 206,56 м²",,"Москва, СВАО, р-н Марьина роща, Тэйт жилой комплексНа карте","206,56 м²",41 из 49,,Марьина Роща,11 мин.,Монолитно-кирпичный,
https://www.cian.ru/sale/flat/323693540/,"Продается 2-комн. квартира, 74 м²",38 972 950 ₽,"Москва, СЗАО, р-н Щукино, Щукинская ул., 3На карте",74 м²,5 из 21,,Щукинская,11 мин.,Монолитный,
https://www.cian.ru/sale/flat/322977068/,"Продается 2-комн. квартира, 65,5 м²",46 800 000 ₽,"Москва, СЗАО, р-н Хорошево-Мневники, Причальный проезд, 10к1На карте","65,5 м²",19 из 33,2023,Шелепиха,12 мин.,,
